,1,2,3,4,5
cucicb_1762contact,34,18,9,2,2
cucicb_2406contact,31,24,29,3,1
cucicb_2407contact,38,21,20,6,6
cucicb_2718contact,17,7,7,2,0
cucicb_4037contact,16,5,6,4,0
cucicb_4054contact,5,15,5,2,0
cucicb_4173contact,14,5,9,0,0
cucicb_4251contact,55,37,20,2,1
cucicb_4824,21,14,3,0,0
cucicb_4993contact,45,27,18,4,0
cucicb_5058contact,46,16,5,4,1
cucicb_5334contact,18,19,12,0,0
cucicb_5421contact,14,14,4,0,1
cucicb_5666contact,44,43,22,6,0
cucicb_5922contact,12,7,22,13,1
cucicb_6030contact,22,8,7,6,0
cucicb_6267contact,31,15,1,5,0
cucicb_6281contact,27,22,16,1,2
cucicb_6339contact,28,14,11,0,0
cucicb_mat,6,84,124,7,3
cuent_2,6,6,1,7,8
cuent_3,7,2,10,2,6
cuent_ampli,15,7,18,12,12
cuent_cocin,13,5,9,10,16
cuent_dos,12,4,9,8,8
cuent_gran,6,3,6,2,11
cuent_living,20,13,7,21,18
cuent_pilet,4,4,8,3,6
cuent_piscin,1,5,11,2,8
cuot_5,22,3,3,37,3
cuot_6,25,1,4,43,9
cuot_7,9,0,0,28,3
cuot_8,7,0,0,17,1
cuot_ajust,11,9,25,30,9
cuot_fij,8,4,0,6,11
cuot_pes,96,72,59,70,34
cuy_fech,18,0,0,49,0
cã_mod,8,14,2,10,4
d_odor,2,4,6,4,9
daniel_acost,31,24,29,3,1
deck_mader,3,11,15,3,19
dej_constanci,43,25,9,44,35
delg_cucicb,28,14,11,0,0
demichelli_cucicb,10,9,2,4,0
dep_96,13,0,2,13,3
dep_preci,18,3,8,9,9
departament_1,67,102,99,50,131
departament_2,206,182,127,166,251
departament_3,235,116,122,204,214
departament_4,95,49,37,99,96
departament_5,13,5,12,12,17
departament_ambient,15,25,23,20,34
departament_ampli,8,6,9,6,5
departament_apto,9,4,7,6,8
departament_argentin,45,241,644,73,1
departament_barri,8,7,4,6,17
departament_belgran,6,8,11,1,22
departament_categori,2,6,9,2,17
departament_const,8,7,5,3,8
departament_contrafrent,5,11,5,3,7
departament_cuent,16,16,16,19,10
departament_dos,29,23,26,16,26
departament_duplex,4,4,13,3,11
departament_edifici,6,7,10,0,9
departament_encuentr,12,8,11,9,5
departament_estren,32,43,44,27,48
departament_excelent,11,6,10,2,12
departament_frent,29,33,23,25,28
departament_lumin,8,6,7,5,6
departament_monoambient,36,76,71,46,49
departament_ph,7,12,0,5,13
departament_pis,26,18,25,20,27
departament_poz,1,3,18,2,9
departament_recicl,9,9,5,1,7
departament_saavedr,2,6,0,6,14
departament_semipis,8,10,6,4,9
departament_tip,37,9,15,43,20
departament_total,7,1,5,8,4
departament_tres,27,10,6,15,18
departament_ubic,19,13,18,12,27
departament_vent,34,47,46,27,67
dependent_baã,15,4,3,3,7
dependent_cocher,5,8,18,7,14
dependent_frent,15,6,2,13,8
dependent_servici,66,37,49,55,77
dependent_vent,5,0,1,11,9
dept_1,12,11,6,10,17
dept_2,24,11,16,18,11
dept_3,41,9,11,15,14
dept_4,14,3,10,6,2
dept_pis,10,6,5,8,8
desarroll_2,9,3,3,10,2
desarroll_barri,6,12,0,1,21
desarroll_calid,8,15,0,1,22
desarroll_construccion,0,2,16,0,9
desarroll_dos,8,2,3,14,7
desarroll_inmobiliari,7,2,2,22,16
desarroll_lot,2,0,34,1,0
desarroll_plant,11,27,12,6,3
descripciã_n,18,20,15,15,25
descubiert_opcional,0,7,1,5,13
descubiert_u,0,5,65,0,0
detall_calid,9,4,12,2,14
detall_categori,18,22,18,12,27
detall_terminacion,12,8,13,6,6
devot_citi,2,2,16,1,6
diari_3,8,3,8,8,2
diari_baã,11,4,1,8,2
diari_dependent,7,2,3,7,10
diari_lavader,23,24,11,30,40
diciembr_2015,5,5,7,7,3
diciembr_2016,14,7,8,6,5
diferent_lin,21,2,0,49,2
direct_propietari,11,10,2,9,6
diseã_ado,2,11,55,2,19
diseã_calid,5,6,2,1,16
